PUBCHEM_SUBSTANCE_ID,smiles
17019801,CCOCCOC(=O)C1=C(C)NC(=O)NC1c1ccccc1OCC
17019248,COCCOC(=O)C1=C(C)NC(=O)NC1c1ccccc1Br
124354161,CCCCNC(=O)c1cc2c(=O)n3ccccc3nc2n(CCc2ccc(OC)c(OC)c2)c1=N
17012476,CCCCCCOC(=O)C1=C(C)NC(=O)NC1c1ccc(N(C)C)cc1
17012461,COCCOC(=O)C1=C(C)NC(=O)NC1c1ccccc1OC(C)C
17012447,CCCCCCOC(=O)C1=C(C)NC(=O)NC1c1ccccc1F
17012440,CCCCCCOC(=O)C1=C(C)NC(=O)NC1c1ccc(Cl)cc1Cl
124751826,Cn1c(=N)c(C(=O)NCc2cccnc2)cc2c(=O)n3ccccc3nc21
17119275,CCOC(=O)C1=C(C)N=c2s/c(=C/c3cccc([N+](=O)[O-])c3O)c(=O)n2C1c1ccc(F)cc1
17001097,CCCCOC(=O)C1=C(C)NC(=O)NC1c1ccccc1Cl
17000953,CCCCOC(=O)C1=C(C)NC(=O)NC1c1ccccc1OCc1ccccc1
17000952,CCCCOC(=O)C1=C(C)NC(=O)NC1c1cc(Cl)cc(Cl)c1OC
17000297,CCOc1ccccc1C1NC(=O)NC(C)=C1C(=O)OCCOc1ccccc1
16992841,CSCCOC(=O)C1=C(C)NC(=O)NC1c1ccccc1Br
16991324,CCCOc1ccccc1C1NC(=O)NC(C)=C1C(=O)OCCSC
16991317,CCOCCOC(=O)C1=C(C)NC(=O)NC1c1ccccc1F
17093692,C=CCOc1ccc(C2C(C(=O)OCC)=C(C)N=c3s/c(=C/c4cc(Br)cc(OC)c4O)c(=O)n32)cc1OCC
17121332,CCOC(=O)C1=C(C)N=c2s/c(=C\c3cccc(OCc4ccccc4[N+](=O)[O-])c3)c(=O)n2C1c1ccc(OC)cc1
17058449,CCOC(=O)C1=C(C)N=c2s/c(=C/c3ccc(I)cc3)c(=O)n2C1c1ccc(O)cc1
16991223,CCCCCCCOC(=O)C1=C(C)NC(=O)NC1c1cc(Br)c(O)c(OC)c1
